name,current_xindanliang,current_xindanliang_1,current_xindanliang_2,current_xindanlv,current_xindanlv_1,current_xindanlv_2,xindanlv3,xindanlv3_1,xindanlv3_2,id
有点-股市指路人,0,0,0,0%,0%,0%,0%,0%,0%,241
有点-Ａ股策略先锋,0,0,0,0%,0%,0%,0%,0%,0%,242
兰君子-股海点金石,0,0,0,0%,0%,0%,0%,0%,0%,243
兰君子-抓板训练营,0,0,0,0%,0%,0%,0%,0%,0%,244
兰君子-短线选股,0,0,0,0%,0%,0%,0%,0%,0%,245
兰君子-短线大A,0,0,0,0%,0%,0%,0%,0%,0%,246
兰君子-华宇九九,0,0,0,0%,0%,0%,0%,0%,0%,247
冠汉-价值老赵LV,0,0,0,0%,0%,0%,0%,0%,0%,248
M-猎庄星座,0,0,0,0%,0%,0%,0%,0%,0%,249
PCAD-23753582-盘前股票池,0,0,0,0%,0%,0%,0%,0%,0%,250
PCAD-24923369-趋势王,0,0,0,0%,0%,0%,0%,0%,0%,251
兰君子-打板刺客,0,0,0,0%,0%,0%,0%,0%,0%,252
兰君子-财经好声音,0,0,0,0%,0%,0%,0%,0%,0%,253
魏老哥聊股市小铃铛,0,0,0,0%,0%,0%,0%,0%,0%,254
龙头抓手小铃铛,0,0,0,0%,0%,0%,0%,0%,0%,255
M-短线谢队长,0,0,0,0%,0%,0%,0%,0%,0%,257
M-盼盼陪你说情绪,0,0,0,0%,0%,0%,0%,0%,0%,258
M-有用闲聊,0,0,0,0%,0%,0%,0%,0%,0%,259
M-野马笔记,0,0,1,0%,0%,25%,0%,0%,0%,260
M-江边潜伏家,0,0,0,0%,0%,0%,0%,0%,0%,261
兰君子-A股小白龙LV,0,0,0,0%,0%,0%,0%,0%,0%,262
JQ3-股人有云,0,0,0,0%,0%,0%,0%,0%,0%,263
微信新闻插件,0,0,0,0%,0%,0%,0%,0%,0%,265
星哥投资小铃铛,0,0,0,0%,0%,0%,0%,0%,0%,266
PCAD-27098251-黑科技,0,0,0,0%,0%,0%,0%,0%,0%,267
PCAD-27098256-趋势王,0,0,0,0%,0%,0%,0%,0%,0%,268
申抖8付费开口,0,0,0,0%,0%,0%,0%,0%,0%,269
快手信息流03付费加微,0,0,0,0%,0%,0%,0%,0%,0%,270
百度指标20截断文,0,0,0,0%,0%,0%,0%,0%,0%,271
财神赵哥小铃铛,3,0,0,2%,0%,0%,2.67%,0%,0%,272
兰君子-主力狙击,0,0,0,0%,0%,0%,0%,0%,0%,273
M-杨公子话A市-短视频,0,0,0,0%,0%,0%,0%,0%,0%,274
诗墨-苹果树财经,0,0,0,0%,0%,0%,0%,0%,0%,275
诗墨-老潘5178A股,0,0,0,0%,0%,0%,0%,0%,0%,276
申抖9开口新页面,0,0,0,0%,0%,0%,0%,0%,0%,277
快手信息流04免费加微,0,0,0,0%,0%,0%,0%,0%,0%,278
兰君子-大A小杨哥,0,0,0,0%,0%,0%,0%,0%,0%,279
兰君子-大a鼓掌,0,0,0,0%,0%,0%,0%,0%,0%,280
UC-双出价,0,0,0,0%,0%,0%,0%,0%,0%,281
诗墨-你们的茉茉姐,0,0,0,0%,0%,0%,0%,0%,0%,282
诗墨-总舵主猴哥88888,0,0,0,0%,0%,0%,0%,0%,0%,283
朋友圈-27098255-股票池,0,0,0,0%,0%,0%,0%,0%,1.75%,284
视频号-30768164-趋势王0.1元,0,0,0,0%,0%,0%,0%,0%,0%,285
朋友圈-27098255三只金股,0,0,0,0%,0%,0%,0%,0%,0%,286
小王哥财经小铃铛,86,79,128,4.32%,4.34%,5.34%,1.76%,1.59%,2.04%,287
百度免费票08,0,0,0,0%,0%,0%,0%,0%,0%,288
百度指标21,52,41,43,5.86%,3.59%,6.4%,2.25%,1.84%,3.57%,289
快手信息流07免费加微,0,0,0,0%,0%,0%,0%,0%,0%,290
申抖音10开口,0,0,0,0%,0%,0%,0%,0%,0%,291
信禾抖音短视频,0,0,0,0%,0%,0%,0%,0%,0%,292
UC-1表单,0,0,0,0%,0%,0%,0%,0%,0%,293
百度指标22,21,6,2,7.64%,3.92%,2.74%,2.91%,1.31%,1.37%,294
信禾抖音短视频1,0,0,0,0%,0%,0%,0%,0%,0%,295
信禾抖音短视频2,0,0,0,0%,0%,0%,0%,0%,0%,296
信禾抖音短视频3,0,0,0,0%,0%,0%,0%,0%,0%,297
信禾抖音短视频4,0,0,0,0%,0%,0%,0%,0%,0%,298
快手信息流09付费加微,0,0,0,0%,0%,0%,0%,0%,0%,299
柒柒亚,0,0,0,0%,0%,0%,0%,0%,0%,300
PCAD-SK-23788536-趋势王,0,0,0,0%,0%,0%,0%,0%,0%,301
百度免费票23,0,0,0,0%,0%,0%,0%,0%,0%,302
JQ5-实战妖哥,0,0,0,0%,0%,0%,0%,0%,0%,303
申抖音10付费,24,28,38,3.82%,6.11%,5.54%,2.54%,3.93%,2.48%,304
