name,current_xindanliang,current_xindanliang_1,current_xindanliang_2,current_xindanlv,current_xindanlv_1,current_xindanlv_2,xindanlv3,xindanlv3_1,xindanlv3_2,id
360-搜索-付费票10,0,,,0%,,,0%,,,486
测试,0,,,0%,,,0%,,,529
360-搜索-免费票11,0,,,0%,,,0%,,,570
360-移动搜索-免费票13,6,,,4.11%,,,1.37%,,,597
360-信息流-免费票,41,,,7.22%,,,4.58%,,,387
360-前置-墨鱼丸03,0,,,0%,,,0%,,,569
亚商快手信息流,0,,,0%,,,0%,,,10073
亚商快手直播,435,,,3.98%,,,1.84%,,,10074
外采快手短信,0,,,0%,,,0%,,,95
小铃铛,435,,,3.98%,,,1.84%,,,10095
小黄车,0,,,0%,,,0%,,,10096
ZKY-快手亚商投顾,0,,,0%,,,0%,,,75
ZKY-快手掌财,0,,,0%,,,0%,,,110
赵哥实盘-小黄车,0,,,0%,,,0%,,,379
小王哥财经-小黄车,0,,,0%,,,0%,,,380
博弈圣手-小黄车,0,,,0%,,,0%,,,381
财经老董-小黄车,0,,,0%,,,0%,,,382
女娲,60,,,3.33%,,,1.67%,,,10122
行业直播,375,,,4.1%,,,1.87%,,,10123
快手-波段老程,0,,,0%,,,0%,,,432
魏老哥聊股市小铃铛,0,,,0%,,,0%,,,254
龙头抓手小铃铛,0,,,0%,,,0%,,,255
星哥投资小铃铛,0,,,0%,,,0%,,,266
财神赵哥小铃铛,3,,,2%,,,2.67%,,,272
小王哥财经小铃铛,86,,,4.32%,,,1.76%,,,287
短线旭哥-小铃铛,0,,,0%,,,0%,,,338
博弈圣手-小铃铛,238,,,4.07%,,,1.81%,,,339
龙头抓手分部-小铃铛（新）,0,,,0%,,,0%,,,341
龙头抓手-小铃铛（新）,0,,,0%,,,0%,,,342
老王实盘-小铃铛（改名）,0,,,0%,,,0%,,,345
财经老董-小铃铛,11,,,3.87%,,,2.46%,,,347
游资先锋-小铃铛,3,,,4.11%,,,6.85%,,,348
今天超有财-小铃铛（改名）,5,,,5.05%,,,0%,,,352
财富密码-小铃铛,0,,,0%,,,0%,,,354
底部擒牛小铃铛,0,,,0%,,,0%,,,406
游资实盘小铃铛,0,,,0%,,,0%,,,408
老魏聊投资小铃铛,0,,,0%,,,0%,,,415
老董财经小铃铛（改名）,0,,,0%,,,0%,,,416
付老大说股小铃铛,0,,,0%,,,0%,,,425
